mes_ano	indice	indice_acumulado_ano	indice_acumulado_12meses	indice_acumulado_jan_93
Jul/2006	0.18	1.5935	1.3945	818.9194
Jun/2006	0.75	1.4110	0.8682	817.4480
Mai/2006	0.38	0.6561	-0.3232	811.3627
Abri/2006	-0.42	0.2750	-0.9190	808.2912
Mar/2006	-0.23	0.6980	0.3546	811.7004
Fev/2006	0.01	0.9301	1.4409	813.5716
Jan/2006	0.92	0.9200	1.7350	813.4902
Dez/2005	-0.01	1.2008	1.2008	806.0744
Nov/2005	0.40	1.2109	1.9598	806.1550
Out/2005	0.60	0.8077	2.3864	802.9432
Set/2005	-0.53	0.2064	2.1726	798.1543
Ago/2005	-0.65	0.7403	3.4258	802.4070
Jul/2005	-0.34	1.3994	5.3725	807.6568
Jun/2005	-0.44	1.7454	7.1171	810.4122
Mai/2005	-0.22	2.1950	9.0752	813.9938
Abri/2005	0.86	2.4203	10.7478	815.7885
Mar/2005	0.85	1.5470	11.1321	808.8326
Fev/2005	0.30	0.6912	11.4406	802.0154
Jan/2005	0.39	0.3900	11.8739	799.6166
Dez/2004	0.74	12.4200	12.4200	796.5102
Nov/2004	0.82	11.5942	12.2749	790.6593
Out/2004	0.39	10.6866	11.9074	784.2286
Set/2004	0.69	10.2566	11.8963	781.1820
Ago/2004	1.22	9.5010	12.4408	775.8288
Jul/2004	1.31	8.1812	11.5077	766.4778
Jun/2004	1.38	6.7823	9.6036	756.5667
Mai/2004	1.31	5.3288	7.0305	746.2682
Abri/2004	1.21	3.9668	5.3718	736.6185
Mar/2004	1.13	2.7239	5.0699	727.8120
Fev/2004	0.69	1.5761	5.4855	719.6796
Jan/2004	0.88	0.8800	7.1512	714.7479
