"","nome_socio","txNomeParlamentar","nomeCivil","distancia","considerado.igual"
"507","ANTONIO ROBERTO RODRIGUES GOES DA SILVA","ROBERTO GÓES","ANTONIO ROBERTO RODRIGUES GOES DA SILVA",0,TRUE
"508","CELIA MARIA BARBOSA ROCHA","CELIA ROCHA","CELIA MARIA BARBOSA ROCHA",0,TRUE
"509","ALEXANDRE FROTA DE ANDRADE","Alexandre Frota","ALEXANDRE FROTA DE ANDRADE",0,TRUE
"510","SILAS CAMARA","Silas Câmara","SILAS CAMARA",0,TRUE
"511","BENJAMIN GOMES MARANHAO NETO","BENJAMIN MARANHÃO","BENJAMIN GOMES MARANHAO NETO",0,TRUE
"512","MARCO AURELIO SPALL MAIA","MARCO MAIA","MARCO AURELIO SPALL MAIA",0,TRUE
"513","SERGIO DE SOUZA","Sergio Souza","SERGIO DE SOUZA",0,TRUE
"514","RICARDO ZANATTA GUIDI","Ricardo Guidi","RICARDO ZANATTA GUIDI",0,TRUE
"515","ILDERLEI SOUZA RODRIGUES CORDEIRO","ILDERLEI CORDEIRO","ILDERLEI SOUZA RODRIGUES CORDEIRO",0,TRUE
"516","VITOR PENIDO DE BARROS","VITOR PENIDO","VITOR PENIDO DE BARROS",0,TRUE
"517","JOSE VALDEVAN DE JESUS SANTOS","Valdevan Noventa","JOSE VALDEVAN DE JESUS SANTOS",0,TRUE
"518","VILMAR DA SILVA ROCHA","VILMAR ROCHA","VILMAR DA SILVA ROCHA",0,TRUE
"519","HUMBERTO GUIMARAES SOUTO","HUMBERTO SOUTO","HUMBERTO GUIMARAES SOUTO",0,TRUE
"520","PAULO PIAU NOGUEIRA","PAULO PIAU","PAULO PIAU NOGUEIRA",0,TRUE
"521","TEREZA NELMA DA SILVA PORTO VIANA SOARES","Tereza Nelma","TEREZA NELMA DA SILVA PORTO VIANA SOARES",0,TRUE
"522","PAULO PEREIRA DA SILVA","Paulo Pereira da Silva","PAULO PEREIRA DA SILVA",0,TRUE
"523","DANIEL ELIAS CARVALHO VILELA","DANIEL VILELA","DANIEL ELIAS CARVALHO VILELA",0,TRUE
"524","RAIMUNDO VALRY DE MORAIS","VALRY MORAIS","RAIMUNDO VALRY DE MORAIS",0,TRUE
"525","LUCIANA DE ALMEIDA COSTA","LUCIANA COSTA","LUCIANA DE ALMEIDA COSTA",0,TRUE
"526","HELDER IGNACIO SALOMAO","Helder Salomão","HELDER IGNACIO SALOMAO",0,TRUE
"527","ATILA ALEXANDRE NUNES PEREIRA","ÁTILA A. NUNES","ATILA ALEXANDRE NUNES PEREIRA",0,TRUE
